Death toll (estimate),Location,Date,Event,Disease,Link,Covid reference class,Did it become endemic?,"Was there a second, third, or fourth wave?/did it last more than one year?",Did it become endemic? (numeric),"Was there a second, third, or fourth wave?/did it last more than one year? (numerical)",Notes,,,,,,
75–200 million (10–60% of European population),"Europe, Asia and North Africa",1346–1353,Black Death,Plague  Y. pestis,https://en.wikipedia.org/wiki/Black_Death,Yes,Yes,Yes,1,1,"The physician to the Avignon Papacy, Raimundo Chalmel de Vinario (Latin: Magister Raimundus, lit. 'Master Raymond'), observed the decreasing mortality rate of successive outbreaks of plague in 1347-8, 1362, 1371, and 1382 in his 1382 treatise On Epidemics (De epidemica).[99] In the first outbreak, two thirds of the population contracted the illness and most patients died; in the next, half the population became ill but only some died; by the third, a tenth were affected and many survived; while by the fourth occurrence, only one in twenty people were sickened and most of them survived",,,,,,
"10,000+",Britain (England) and later continental Europe,1485–1551,Sweating sickness (multiple outbreaks),"Unknown, possibly an unknown species of hantavirus",https://en.wikipedia.org/wiki/Sweating_sickness,Unclear,No,Yes,0,1,,,,,,,
Unknown Around 1% of those infected,"Asia, North Africa, Europe",1510,1510 Influenza pandemic,Influenza,https://en.wikipedia.org/wiki/1510_influenza_pandemic,Yes,No,No,0,0,"a mortality rate of around 1%. Fernel and Paré suggest that the 1510 influenza ""spread to almost all countries of the world"" with the exception of the New World",,,,,,
5–8 million (40% of population),Mexico,1520,1520 Smallpox Epidemic,Smallpox,https://en.wikipedia.org/wiki/History_of_smallpox_in_Mexico,Unclear,Yes,Yes,1,1,,,,,,,
5–15 million (80% of population),Mexico,1545–1548,Cocoliztli Epidemic of 1545–1548,Possibly Salmonella enterica,https://en.wikipedia.org/wiki/Cocoliztli_epidemics,Unclear,No,Yes,0,1,,,,,,,
"20,100+ in London",London,1563–1564,1563 London plague,Plague,https://en.wikipedia.org/wiki/1563_London_plague,Unclear,No,No,0,0,Radical measures taken,,,,,,
2–2.5 million (50% of population),Mexico,1576–1580,Cocoliztli epidemic of 1576,Possibly Salmonella enterica,https://en.wikipedia.org/wiki/Cocoliztli_epidemics,Unclear,No,Yes,0,1,,,,,,,
,Seneca nation,1592–1596,,Measles,,,,,,,,,,,,,
3000,Malta,1592–1593,1592–93 Malta plague epidemic,Plague,https://en.wikipedia.org/wiki/1592%E2%80%931593_Malta_plague_epidemic,Unclear,No,Yes,0,1,These measures [were] enforced with harsh penalties including flogging and death,,,,,,
"19,900+ in London and outer parishes",London,1592–1593,1592–93 London plague,Plague,https://en.wikipedia.org/wiki/1592%E2%80%931593_London_plague,Unclear,No,Yes,0,1,,,,,,,
"600,000 to 700,000",Spain,1596–1602,,Plague,https://libro.uca.edu/payne1/payne15.htm,Unclear,No,Yes,0,1,,,,,,,
,South America,1600–1650,,Malaria,ø,Unclear,Unclear,Yes,0.5,1,,,,,,,
,England,1603,,Plague,ø,Unclear,No,No,0,0,,,,,,,
1 million (Britannica),Egypt,1609,,Plague,ø,Unclear,No,No,0,0,,,,,,,
Unknown: estimated 30–90% of population,"Southern New England, especially the Wampanoag people",1616–1620,1616 New England epidemic,"Unknown cause. Latest research suggests epidemic(s) of leptospirosis with Weil syndrome. Classic explanations include yellow fever, bubonic plague, influenza, smallpox, chickenpox, typhus, and syndemic infection of hepatitis B and hepatitis D.",ø,Unclear,No,Yes,0,1,,,,,,,
280000,Italy,1629–1631,Italian plague of 1629–1631,Plague,https://en.wikipedia.org/wiki/1629%E2%80%931631_Italian_plague,Unclear,No,Yes,0,1,A major outbreak in March 1630 was due to relaxed health measures during the carnival season,,,,,,
"15,000–25,000",Wyandot people,1634,,Smallpox,,,,,,,,,,,,,
,Thirteen Colonies,1633,Massachusetts smallpox epidemic,Smallpox,https://en.wikipedia.org/wiki/Massachusetts_smallpox_epidemic,Unclear,Yes,Yes,1,1,,,,,,,
,England,1636,,Plague,,,,,,,,,,,,,
,China,1641–1644,,Plague,,,,,,,,,,,,,
"600,000 to 700,000",Spain,1647–1652,Great Plague of Seville,Plague,https://en.wikipedia.org/wiki/Great_Plague_of_Seville,Unclear,No,Yes,0,1,"In Seville, quarantine measures were evaded, ignored, unproposed and/or unenforced[citation needed]. The results were devastating",,,,,,
,Central America,1648,,Yellow fever,,,,,,,,,,,,,
1250000,Italy,1656,Naples Plague,Plague,https://en.wikipedia.org/wiki/Naples_Plague,Unclear,No,No,0,0,,,,,,,
,Thirteen Colonies,1657,,Measles,,,,,,,,,,,,,
24148,Netherlands,1663–1664,,Plague,,,,,,,,,,,,,
100000,England,1665–1666,Great Plague of London,Plague,https://en.wikipedia.org/wiki/Great_Plague_of_London,Unclear,No,,0,,"Two suspicious deaths were recorded in St. Giles parish in 1664 and another in February 1665. These did not appear as plague deaths on the Bills of Mortality, so no control measures were taken by the authorities, but the total number of people dying in London during the first four months of 1665 showed a marked increase. By the end of April, only four plague deaths had been recorded, two in the parish of St. Giles, but total deaths per week had risen from around 290 to 398",Tobacco was thought to be a prophylactic and it was later said that no London tobacconist had died from the plague during the epidemic,,,,,
40000,France,1668,,Plague,,,,,,,,,,,,,
11300,Malta,1675–1676,1675–76 Malta plague epidemic,Plague,https://en.wikipedia.org/wiki/1675%E2%80%931676_Malta_plague_epidemic,Unclear,No,Yes,0,1,"Some people disputed the cause of the disease, and the doctor Giuseppe del Cosso insisted that it was not plague but a malignant pricking disease.[6] Many went about their daily lives as usual, and this is believed to be a factor which resulted in such a high death toll.[2] It was only after various European physicians gave their opinions that it was plague that strict containment measures were enforced, but by then it was too late",,,,,,
,Spain,1676–1685,,Plague,,,,,,,,,,,,,
76000,Austria,1679,Great Plague of Vienna,Plague,https://en.wikipedia.org/wiki/Great_Plague_of_Vienna,Unclear,No,No,0,0,,,,,,,
,South Africa,1687,,"Unknown, possibly Influenza",,,,,,,,,,,,,
,Thirteen Colonies,1687,,Measles,,,,,,,,,,,,,
,Thirteen Colonies,1690,,Yellow fever,,,,,,,,,,,,,
,"Canada, New France",1702–1703,,Smallpox,,,,,,,,,,,,,
"18,000+ (36% of population)",Iceland,1707–1709,Great Smallpox Epidemic,Smallpox,,,,,,,,,,,,,
164000,"Denmark, Sweden, Lithuania",1710–1712,Great Northern War plague outbreak,Plague,https://en.wikipedia.org/wiki/Great_Northern_War_plague_outbreak,Unclear,No,Yes,0,1,"While at first the city authorities downplayed the plague, which had reached a peak in early October and then declined, this approach was abandoned when the death toll again started to rise significantly in November","In November 1709, when the Prussian king Frederick I returned to Berlin from a meeting with Russian tsar Peter the Great, the king had a strange encounter with his mentally deranged wife Sophia Louise, who in a white dress and with bloody hands pointed at him saying that the plague would devour the king of Babylon.[48] As there was a legend of a White Lady foretelling the deaths of the Hohenzollern, Frederick took his wife's outburst seriously[49] and ordered that precautions be taken for his residence city.[50] Among other measures, he ordered the construction of a pest house outside the city walls, the Berlin Charité.[50]","In June 1710, most probably via a ship from Pernau, the plague arrived in Stockholm, where the health commission (Collegium Medicum) until 29 August denied that it was indeed the plague, despite buboes being visible on the bodies of victims from the ship and in the town","While Scania was protected from an infection from the north by a cordon sanitaire between it and Småland, the plague came by sea[94] and made landfall not only in Västanå, but also in January 1711 in Domsten in Allerum parish, where the locals had ignored the ban on contact with their relatives and friends on the Danish side of the Sound, most notably in the infected area around Helsingør (Elsinore); the third starting point for the plague in Scania was Ystad, where on 19 June an infected soldier arrived from Swedish Pomerania.[93] The plague remained in Scania until 1713, probably 1714",,,
,Thirteen Colonies,1713–1715,,Measles,,,,,,,,,,,,,
,"Canada, New France",1714–1715,,Measles,,,,,,,,,,,,,
"100,000+",France,1720–1722,Great Plague of Marseille,Plague,https://en.wikipedia.org/wiki/Great_Plague_of_Marseille,Unclear,No,Yes,0,1,,,,,,,
844,Massachusetts Bay Colony,1721–1722,1721 Boston smallpox outbreak,Smallpox,https://en.wikipedia.org/wiki/1721_Boston_smallpox_outbreak,Unclear,No,No,0,0,Early experiments with variolation,,,,,,
,Thirteen Colonies,1729,,Measles,,,,,,,,,,,,,
,Spain,1730,,Yellow fever,,,,,,,,,,,,,
,Thirteen Colonies,1732–1733,,Influenza,,,,,,,,,,,,,
,"Canada, New France",1733,,Smallpox,,,,,,,,,,,,,
50000,Balkans,1738,Great Plague of 1738,Plague,https://en.wikipedia.org/wiki/Great_Plague_of_1738,Unclear,No,Yes,0,1,,,,,,,
,Thirteen Colonies,1738,,Smallpox,,,,,,,,,,,,,
,Thirteen Colonies,1739–1740,,Measles,,,,,,,,,,,,,
,Italy,1743,,Plague,,,,,,,,,,,,,
,Thirteen Colonies,1747,,Measles,,,,,,,,,,,,,
,North America,1755–1756,,Smallpox,,,,,,,,,,,,,
,North America,1759,,Measles,,,,,,,,,,,,,
,"North America, West Indies",1761,,Influenza,,,,,,,,,,,,,
,"North America, present-day Pittsburgh area.",1763,,Smallpox,,,,,,,,,,,,,
50000,Russia,1770–1772,Russian plague of 1770–1772,Plague,https://en.wikipedia.org/wiki/1770%E2%80%931772_Russian_plague,Unclear,No,Yes,0,1,"Commanding general Christopher von Stoffeln coerced army doctors to conceal the outbreak, which was not made public until Gustav Orreus, a Russian-Finnish surgeon reporting directly to Field Marshal Pyotr Rumyantsev, examined the situation, identified it as plague and enforced quarantine in the troops. Shtoffeln, however, refused to evacuate the infested towns and himself fell victim to the plague in May 1770. Of 1,500 patients recorded in his troops in May–August 1770, only 300 survived",Politicking during the outbreak was followed by failure of containment. ,,,,,
,Pacific Northwest natives,1770s,,Smallpox,,,,,,,,,,,,,
,North America,1772,,Measles,,,,,,,,,,,,,
2 million+,Persia,1772,Persian Plague,Plague,https://en.wikipedia.org/wiki/1772%E2%80%931773_Persian_Plague,Unclear,No,No,0,0,,,,,,,
,England,1775–1776,,Influenza,,,,,,,,,,,,,
,Spain,1778,,Dengue fever,,,,,,,,,,,,,
,Plains Indians,1780–1782,North American smallpox epidemic,Smallpox,https://en.wikipedia.org/wiki/1775%E2%80%931782_North_American_smallpox_epidemic,Unclear,No,Yes,0,1,Examples of inoculation,,,,,,
,Pueblo Indians,1788,,Smallpox,,,,,,,,,,,,,
,United States,1788,,Measles,,,,,,,,,,,,,
,"New South Wales, Australia",1789–1790,,Smallpox,,,,,,,,,,,,,
,United States,1793,,Influenza and epidemic typhus,,,,,,,,,,,,,
"5,000+",United States,1793–1798,"Yellow Fever Epidemic of 1793, resurgences",Yellow fever,https://en.wikipedia.org/wiki/1793_Philadelphia_yellow_fever_epidemic,Unclear,No,No,0,0,,,,,,,
,Spain,1800–1803,,Yellow fever,,,,,,,,,,,,,
,"Ottoman Empire, Egypt",1801,,Bubonic plague,,,,,,,,,,,,,
,United States,1803,,Yellow fever,,,,,,,,,,,,,
,Egypt,1812,,Plague,,,,,,,,,,,,,
"300,000+",Ottoman Empire,1812–1819,1812–19 Ottoman plague epidemic,Plague,https://en.wikipedia.org/wiki/1812%E2%80%931819_Ottoman_plague_epidemic,Unclear,No,Yes,0,1,,,,,,,
4500,Malta,1813–1814,1813–14 Malta plague epidemic,Plague,https://en.wikipedia.org/wiki/1813%E2%80%931814_Malta_plague_epidemic,Yes,,,,,Low mortality,Disease spread by smugglers,,,,,
60000,Romania,1813,Caragea's plague,Plague,https://en.wikipedia.org/wiki/Caragea%27s_plague,Unclear,No,No,0,0,,,,,,,
,Ireland,1816–1819,,Typhus,,,,,,,,,,,,,
"100,000+","Asia, Europe",1816–1826,First cholera pandemic,Cholera,https://en.wikipedia.org/wiki/1817%E2%80%931824_cholera_pandemic,Yes,No,Yes,0,1,First cholera pandemic,"Unclear whether there were many waves, or whether it spread from a center. Historians believe that the first pandemic had lingered in Indonesia and the Philippines in 1830.","Cholera was endemic to the lower Ganges River.[1] At festival times, pilgrims frequently contracted the disease there and carried it back to other parts of India on their returns, where it would spread, then subside. The first cholera pandemic started similarly, as an outbreak that was suspected to have begun in 1817 in the town of Jessore.[3] Some epidemiologists and medical historians have suggested that it spread globally through a Hindu pilgrimage, the Kumbh Mela, on the upper Ganges River",,,,
,United States,1820–1823,,Yellow fever,,,,,,,,,,,,,
,Spain,1821,,Yellow fever,,,,,,,,,,,,,
,"New South Wales, Australia",1828,,Smallpox,,,,,,,,,,,,,
2800,Netherlands,1829,Groningen epidemic,Malaria,https://en.wikipedia.org/wiki/Groningen_epidemic,Unclear,No,No,0,0,,,,,,,
,South Australia,1829,,Smallpox,,,,,,,,,,,,,
,Iran,1829–1835,,Bubonic plague,,,,,,,,,,,,,
"100,000+","Asia, Europe, North America",1829–1851,Second cholera pandemic,Cholera,https://en.wikipedia.org/wiki/1826%E2%80%931837_cholera_pandemic,Yes,No,Yes,0,1,First cholera pandemic for Europeans,"Like the earlier pandemics, cholera spread from the Ganges Delta of India",,,,,
,Egypt,1831,,Cholera,,,,,,,,,,,,,
,Plains Indians,1831–1834,,Smallpox,,,,,,,,,,,,,
,"England, France",1832,,Cholera,,,,,,,,,,,,,
,North America,1832,,Cholera,,,,,,,,,,,,,
,United States,1833,,Cholera,,,,,,,,,,,,,
,United States,1834,,Cholera,,,,,,,,,,,,,
,Egypt,1834–1836,,Bubonic plague,,,,,,,,,,,,,
,United States,1837,,Typhus,,,,,,,,,,,,,
"17,000+",Great Plains,1837–1838,1837–38 smallpox epidemic,Smallpox,https://en.wikipedia.org/wiki/1837_Great_Plains_smallpox_epidemic,Yes,No,Yes,0,1,"the small-pox had never been known in the civilized world, as it had been among the poor Mandans and other Indians. Only twenty-seven Mandans were left to tell the tale",Smallpox may have been intentionally spread among the indigenous people of the Americas by colonizers. Culture War.,,,,,
,Dalmatia,1840,,Plague,,,,,,,,,,,,,
,South Africa,1840,,Smallpox,,,,,,,,,,,,,
,United States,1841,,Yellow fever,,,,,,,,,,,,,
"20,000+",Canada,1847–1848,Typhus epidemic of 1847,Epidemic typhus,https://en.wikipedia.org/wiki/1847_North_American_typhus_epidemic,No,No,No,0,0,,,,,,,
,United States,1847,,Yellow fever,,,,,,,,,,,,,
,Worldwide,1847–1848,,Influenza,,,,,,,,,,,,,
,Egypt,1848,,Cholera,,,,,,,,,,,,,
,North America,1848–1849,,Cholera,,,,,,,,,,,,,
,United States,1850,,Yellow fever,,,,,,,,,,,,,
,North America,1850–1851,,Influenza,,,,,,,,,,,,,
,United States,1851,,Cholera,,,,,,,,,,,,,
,United States,1852,,Yellow fever,,,,,,,,,,,,,
1 million+,Russia,1846–1860,Third cholera pandemic,Cholera,https://en.wikipedia.org/wiki/1846%E2%80%931860_cholera_pandemic,Unclear,No,Yes,0,1,,,,,,,
,Ottoman Empire,1853,,Plague,,,,,,,,,,,,,
4737,"Copenhagen, Denmark",1853,Cholera epidemic of Copenhagen 1853,Cholera,https://en.wikipedia.org/wiki/1853_Copenhagen_cholera_outbreak,Unclear,No,No,0,0,Changes made to Copenhagen afterwards,,,,,,
616,England,1854,Broad Street cholera outbreak,Cholera,,,,,,,,,,,,,
,United States,1855,,Yellow fever,,,,,,,,,,,,,
12 million+ in India and China alone,Worldwide,1855–1860,Third plague pandemic,Bubonic plague,https://en.wikipedia.org/wiki/Third_plague_pandemic,Unclear,Yes,Yes,1,1,"According to the World Health Organization, the pandemic was considered active until 1960, when worldwide casualties dropped to 200 per year",A natural reservoir or nidus for plague is in western Yunnan and is still an ongoing health risk,"The British colonial government in India pressed medical researcher Waldemar Haffkine to develop a plague vaccine. After three months of persistent work with a limited staff, a form for human trials was ready. On January 10, 1897 Haffkine tested it on himself. After the initial test was reported to the authorities, volunteers at the Byculla jail were used in a control test, all inoculated prisoners survived the epidemics, while seven inmates of the control group died. By the turn of the century, the number of inoculees in India alone reached four million. Haffkine was appointed the Director of the Plague Laboratory (now called Haffkine Institute) in Bombay",,,,
,Portugal,1857,,Yellow fever,,,,,,,,,,,,,
,"Victoria, Australia",1857,,Smallpox,,,,,,,,,,,,,
,"Europe, North America, South America",1857–1859,,Influenza,,,,,,,,,,,,,
"3,000+","Central Coast, British Columbia",1862–1863,,Smallpox,,,,,,,,,,,,,
600000,Middle East,1863–1875,Fourth cholera pandemic,Cholera,https://en.wikipedia.org/wiki/1863%E2%80%931875_cholera_pandemic,Unclear,No,Yes,0,1,,,,,,,
,Egypt,1865,,Cholera,,,,,,,,,,,,,
,"Russia, Germany",1866–1867,,Cholera,,,,,,,,,,,,,
,Australia,1867,,Measles,,,,,,,,,,,,,
,Iraq,1867,,Plague,,,,,,,,,,,,,
,Argentina,1852–1871,,Yellow fever,,,,,,,,,,,,,
,Germany,1870–1871,,Smallpox,,,,,,,,,,,,,
40000,Fiji,1875,1875 Fiji Measles outbreak,Measles,ø,Unclear,No,No,0,0,,,,,,,
,Russian Empire,1877,,Plague,,,,,,,,,,,,,
,Egypt,1881,,Cholera,,,,,,,,,,,,,
"9,000+","India, Germany",1881–1896,Fifth cholera pandemic,Cholera,https://en.wikipedia.org/wiki/1881%E2%80%931896_cholera_pandemic,Unclear,No,Yes,0,1,"Although many residents held the city government responsible for the virulence of the epidemic (leading to cholera riots in 1893[3]), it continued with practices largely unchanged","American author Mark Twain, an avid traveler, visited Hamburg during the cholera outbreak, and he described his experience in a short, uncollected piece dated ""1891–1892"". Therein, he notes alarmingly the lack of information in Hamburg newspapers about the cholera event, particularly death totals",,,,,
3164,Montreal,1885,,Smallpox,,,,,,,,,,,,,
1 million,Worldwide,1889–1890,1889–1890 flu pandemic,Influenza,https://en.wikipedia.org/wiki/1889%E2%80%931890_flu_pandemic,Yes,No,Yes,0,1,,,,,,,
,West Africa,1900,,Yellow fever,,,,,,,,,,,,,
,Congo Basin,1896–1906,,Trypanosomiasis,,,,,,,,,,,,,
"800,000+","Europe, Asia, Africa",1899–1923,Sixth cholera pandemic,Cholera,https://en.wikipedia.org/wiki/1899%E2%80%931923_cholera_pandemic,Unclear,No,Yes,0,1,,,,,,,
113,San Francisco,1900–1904,,Bubonic plague,,,,,,,,,,,,,
,Uganda,1900–1920,,Trypanosomiasis,,,,,,,,,,,,,
,Egypt,1902,,Cholera,,,,,,,,,,,,,
22,India,1903,,Bubonic Plague,,,,,,,,,,,,,
4,Fremantle,1903,,Bubonic plague,,,,,,,,,,,,,
60000,China,1910–1911,Manchurian plague,Pneumonic plague,https://en.wikipedia.org/wiki/Manchurian_plague,Unclear,No,No,0,0,"The Chinese government also sought the support of foreign doctors, a number of whom died as a consequence of the disease.[5] In Harbin, this included the Frenchman Gérald Mesny, from the Imperial Medical College in Tientsin, who disputed Wu's recommendation of masks; a few days later, he died after catching the plague when visiting patients without wearing a mask",,,,,,
40000,China,1910–1912,1910 China plague,Bubonic plague,,,,,,,,,,,,,
1.5 million,Worldwide,1915–1926,1915 Encephalitis lethargica pandemic,Encephalitis lethargica,https://en.wikipedia.org/wiki/Encephalitis_lethargica,,,,,,"They would be conscious and aware – yet not fully awake; they would sit motionless and speechless all day in their chairs, totally lacking energy, impetus, initiative, motive, appetite, affect or desire; they registered what went on about them without active attention, and with profound indifference. They neither conveyed nor felt the feeling of life; they were as insubstantial as ghosts, and as passive as zombies","The pandemic disappeared in 1927 as abruptly and mysteriously as it first appeared.[21] The great encephalitis pandemic coincided with the 1918 influenza pandemic, and it is likely that the influenza virus potentiated the effects of the encephalitis virus or lowered resistance to it in a catastrophic way",,,,,
"7,000+",United States of America,1916,,Poliomyelitis,,,,,,,,,,,,,
17-100 million,Worldwide,1918–1920,Spanish flu (pandemic),Influenza A virus subtype H1N1  Spanish Flu Virus,https://en.wikipedia.org/wiki/Spanish_flu,Yes,No,Yes,0,1,"To maintain morale, World War I censors minimized early reports of illness and mortality in Germany, the United Kingdom, France, and the United States. Newspapers were free to report the epidemic's effects in neutral Spain, such as the grave illness of King Alfonso XIII, and these stories created a false impression of Spain as especially hard hit.","A large factor in the worldwide occurrence of this flu was increased travel. Modern transportation systems made it easier for soldiers, sailors, and civilian travelers to spread the disease.[41] Another was lies and denial by governments, leaving the population ill-prepared to handle the outbreaks",https://en.wikipedia.org/wiki/File:1918_spanish_flu_waves.gif,"In 1918, older adults may have had partial protection caused by exposure to the 1889–1890 flu pandemic, known as the ""Russian flu""",Another oddity was that the outbreak was widespread in the summer and autumn (in the Northern Hemisphere); influenza is usually worse in winter,"In New Zealand, 8,573 deaths were attributed to the 1918 pandemic influenza, resulting in a total population fatality rate of 0.7%.[116] Māori were 8 to 10 times as likely to die as other New Zealanders (Pakeha) because of their more crowded living conditions","Despite the high morbidity and mortality rates that resulted from the epidemic, the Spanish flu began to fade from public awareness over the decades until the arrival of news about bird flu and other pandemics in the 1990s and 2000s.[131] This has led some historians to label the Spanish flu a ""forgotten pandemic"""
2.5 million (estimated),Russia,1918–1922,,Typhus,ø,Unclear,No,Yes,0,1,,,,,,,
30,Los Angeles,1924,1924 Los Angeles pneumonic plague outbreak,Pneumonic plague,,,,,,,,,,,,,
43,"Croydon, United Kingdom",1937,Croydon epidemic of typhoid fever,Typhoid fever,,,,,,,,,,,,,
,Egypt,1942–1944,,Malaria,,,,,,,,,,,,,
,China,1946,,Bubonic plague,,,,,,,,,,,,,
,Egypt,1946,,Relapsing fever,,,,,,,,,,,,,
1845,United States of America,1946,,Poliomyelitis,,,,,,,,,,,,,
10277,Egypt,1947,,Cholera,,,,,,,,,,,,,
2720,United States of America,1949,,Poliomyelitis,,,,,,,,,,,,,
3145,United States of America,1952,,Poliomyelitis,,,,,,,,,,,,,
1-4 million,Worldwide,1957–1958,Asian flu,Influenza A virus subtype H2N2,https://en.wikipedia.org/wiki/1957%E2%80%931958_influenza_pandemic,Yes,Yes,Yes,1,1,Low mortality,,,,,,
,Worldwide,1961–1975,Seventh cholera pandemic,Cholera (El Tor strain),https://en.wikipedia.org/wiki/1961%E2%80%931975_cholera_pandemic,Unclear,Yes,Yes,1,1,,,,,,,
500 million,Worldwide,1877–1977,,Smallpox,https://en.wikipedia.org/wiki/Smallpox,Yes,Yes,Yes,1,1,"In 2017, Canadian scientists recreated an extinct horse pox virus to demonstrate that the smallpox virus can be recreated in a small lab at a cost of about $100,000, by a team of scientists without specialist knowledge",,,,,,
1-4 million,Worldwide,1968–1970,Hong Kong flu,Influenza A virus subtype H3N2,https://en.wikipedia.org/wiki/Hong_Kong_flu,Unclear,No,Yes,0,1,,,,,,,
5,Netherlands,1971,,Poliomyelitis,,,,,,,,,,,,,
35,Yugoslavia,1972,1972 outbreak of smallpox in Yugoslavia,Smallpox,,,,,,,,,,,,,
1027,United States,1972–1973,London flu,Influenza A virus subtype H3N2,,,,,,,,,,,,,
24,Italy,1973,,Cholera (El Tor strain),,,,,,,,,,,,,
15000,India,1974,1974 smallpox epidemic of India,Smallpox,https://en.wikipedia.org/wiki/1974_smallpox_epidemic_in_India,No,Fuck no,No,Fuck 0,0,,,,,,,
32 million+ (23.6–43.8 million),Worldwide,1981–present (data as of 2018),HIV/AIDS pandemic,HIV/AIDS,https://en.wikipedia.org/wiki/Epidemiology_of_HIV/AIDS,,,,,,,,,,,,
64,Western Sahara,1984,,Plague,,,,,,,,,,,,,
"8,410–9,432",Bangladesh,1991,,Cholera,,,,,,,,,,,,,
52,India,1994,1994 plague epidemic in Surat,Plague,,,,,,,,,,,,,
231,Worldwide,1996–2001,United Kingdom BSE outbreak,vCJD,,,,,,,,,,,,,
10000,West Africa,1996,,Meningitis,,,,,,,,,,,,,
105,Malaysia,1998–1999,1998–99 Malaysia Nipah virus outbreak,Nipah virus infection,,,,,,,,,,,,,
ca. 40+,Central America,2000,,Dengue fever,,,,,,,,,,,,,
400+,Nigeria,2001,,Cholera,,,,,,,,,,,,,
139,South Africa,2001,,Cholera,,,,,,,,,,,,,
774,Worldwide,2002–2004,2002–04 SARS outbreak,Severe acute respiratory syndrome (SARS),,,,,,,,,,,,,
1 (18 cases),Algeria,2003,,Plague,,,,,,,,,,,,,
"0 (3,958 cases)",Afghanistan,2004,,Leishmaniasis,,,,,,,,,,,,,
"17,000 cases; mortality typically 1%",Bangladesh,2004,,Cholera,,,,,,,,,,,,,
658,Indonesia,2004,,Dengue fever,,,,,,,,,,,,,
2,Senegal,2004,,Cholera,,,,,,,,,,,,,
7,Sudan,2004,,Ebola,,,,,,,,,,,,,
14,Mali,2005,,Yellow fever,,,,,,,,,,,,,
27,Singapore,2005,2005 dengue outbreak in Singapore,Dengue fever,,,,,,,,,,,,,
"1,200+","Luanda, Angola",2006,,Cholera,,,,,,,,,,,,,
61,"Ituri Province, Democratic Republic of the Congo",2006,,Plague,,,,,,,,,,,,,
17,India,2006,,Malaria,,,,,,,,,,,,,
50+,India,2006,2006 dengue outbreak in India,Dengue fever,,,,,,,,,,,,,
Unknown (cases very numerous and widespread),India,2006,Chikungunya outbreaks,Chikungunya virus,,,,,,,,,,,,,
50+,Pakistan,2006,2006 dengue outbreak in Pakistan,Dengue fever,,,,,,,,,,,,,
"ca. 1,000",Philippines,2006,,Dengue fever,,,,,,,,,,,,,
394,East Africa,2006,2006–07 East Africa Rift Valley fever outbreak,Rift Valley fever,,,,,,,,,,,,,
187,Democratic Republic of the Congo,2007,Mweka ebola epidemic,Ebola,,,,,,,,,,,,,
684,Ethiopia,2007,,Cholera,,,,,,,,,,,,,
49,India,2008,,Cholera,,,,,,,,,,,,,
10,Iraq,2007,2007 Iraq cholera outbreak,Cholera,,,,,,,,,,,,,
Unknown (69 cases),Nigeria,2007,,Poliomyelitis,,,,,,,,,,,,,
183,Puerto Rico; Dominican Republic; Mexico,2007,,Dengue fever,,,,,,,,,,,,,
"Perhaps 1.5% of 1,200 cases (18)/ 150 in another source",Somalia,2007,,Cholera,,,,,,,,,,,,,
37,Uganda,2007,,Ebola,,,,,,,,,,,,,
,Vietnam,2007,,Cholera,,,,,,,,,,,,,
,Brazil,2008,,Dengue fever,,,,,,,,,,,,,
