Names,Image,Year,Status,Shipyard,LOAsparred (m),Beam,Masts & type,Hull material,Sail area,Gross tonnage,Displacement,Note
PalinuroCommandant Louis Richard,,1934,S,"Chantiers Dubigeon, Nantes",69,9.2,3-mast schooner,Steel,2634 m[49],835 t,"1,341 tonnes",training ship
Vasa,,1627,D,"Navy Yard, Stockholm",69,12,3-mast warship,Wood,"13,720 sq ft (1,275 m2)",,"1,210 tonnes","Museum, warship"
Lady Elizabeth,,1879,H,Robert Thompson & Sons,68,11,3-mast Barque,Iron,,1208,,"Cargo Ship, wreck"
UAM Creoula,,1937,S,"Estaleiros CUF, Lisbon",67.4,9.9,4-mast lugger,Steel,"14,681 sq ft (1,363.9 m2)",,"1,300 tons",Sail training[50]
Santa Maria Manuela,,1937,S,"Estaleiros CUF, Lisbon",67.4,9.9,4-mast lugger,Steel,"12,163 sq ft (1,130.0 m2)",,"1,300 tons",Cruise ship[51]
Vertigo[52],,2010,S,"Alloy Yachts, Auckland",67,12.5,2-mast ketch,Aluminium,5330m,837 GRT,,Yacht
C.A. Thayer,,1895,F,Hans D. Bendixsen,67,11,3-mast schooner,Wood,,453 GRT,,"Museum ship, Fishing, Cargo"
Hetairos[53]Panamax,,2011,S,"Baltic Yachts, Finland",66.7,10.5,2-mast ketch,GRP,,,,YachtDykstra & PartnersReichel Pugh
Aglaia[54],,2011,S,Vitters Shipyard,66,10.3,"1-mast, sloop",,2370 m,494[55],,"Yacht, Dubois/Redman Whiteley Dixon"
CreoleVira,,1927,S,"Camper & Nicholsons, refitting by Cantiere Navale Ferrari-Signani",65.3,9.4,3-mast schooner,Wood,1640 m,381,697,Yacht Mine Sweeper
Alexander von Humboldt II[56][57],,2011,S,BVT,65,10,3-mast barque,Steel,1360 m,763 GRT,992 tonnes,training ship
Tenacious,,2000,S,"Jubilee Yard, Southampton",65,11,3-mast barque,Wood,"13,100 sq ft (1,220 m2)",,586 tons burthen,sail training
Adix,,1984,S,Astilleros de Mallorca S.A.,64.85,8.88,3-mast schooner,Steel,1720 m[58],291,370,Yacht
Pilar Rossi,,1989,S,Alucraft,64.35,14.1,2-mast trimaran,Steel,,,,"Yacht, lengthened 2005"
Sørlandet,,1927,S,Høivolds Mek. Verksted[59],64.15,6.87,3-mast full rig,Steel,1166 m,499 GT,891 tons,School Ship
Felicita West[60],,2003,S,Perini Navi,64,12.7,2-mast,Aluminium,2299 m,650,650,Yacht
Running on Waves,,2011,S,Gdansk,64,9,3-mast Barkentine,Steel,1300 m,634 GT,700 t,"Yacht, Choren Design[61][62][63]"
Großherzogin Elisabeth Ariadne San Antonio[64][65][66],,1909,S,Scheepswerf Smit Jan Alblasserdam,64,8.2,3-mast Schooner,Steel,1010 m,463 GRT 540 DWT,,Club owned Cruise ship  CoasterFreighter
Alexander von HumboldtReserve Sonderburg[67],,1906,F,"AG Weser, Bremen",62.55,8,3-mast Barque,Steel,"11,140 sq ft (1,035 m2)",829 ts,396,"botel, moored in Bremen charter yachttraining[68]lightship"
